"onset" "duration" "sample" "trial_type" "eventIdentifier" "stim_file" "event_nr" "aoi" "trial" "taskVersion" "nwords" "aoiInfo_wordPosition" "aoiInfo_word" "aoiInfo_nchar" "aoiInfo_freq" "aoiInfo_pred" "aoiInfo_lum_norm" "aoiInfo_simBOLD_res" "aoiInfo_OLD20" "response"
211.065 2.718 720673 "Exp.Trial" "ID_129_9" "Gute Beziehungen ebnen vielen Unternehmern den Weg zum Erfolg. " 21 "[[153.5,285.5,384,384],[285.5,351.5,384,384],[351.5,428.5,384,384],[428.5,571.5,384,384],[571.5,615.5,384,384],[615.5,659.5,384,384],[659.5,703.5,384,384],[703.5,786,384,384]]" 21 "v4" 9 "[2,3,4,5,6,7,8,9]" "[\"Beziehungen\",\"ebnen\",\"vielen\",\"Unternehmern\",\"den\",\"Weg\",\"zum\",\"Erfolg\"]" "[11,5,6,12,3,3,3,7]" "[2.6848,0.8451,3.4218,0.301,5.163,4.1024,4.5244,3.0719]" "[0.0116,0,0.0116,0,0.6047,0.6163,0.3953,0.7558]" "[137.6114,138.018,118.8007,133.818,143.4627,158.6667,135.7948,123.1445]" "[0.2494,0.6327,0.1952,0.0726,\"NA\",\"NA\",\"NA\",0.9998]" "[2.55,1.7,1.15,2.4,1,1,1,1.7]" NA
217.054 6.26 726662 "Exp.Trial" "ID_130_7" "Mäuse und Ratten nagen gerne an Stromkabeln. " 22 "[[164.5,208.5,384,384],[208.5,285.5,384,384],[285.5,351.5,384,384],[351.5,417.5,384,384],[417.5,450.5,384,384],[450.5,588,384,384]]" 22 "v4" 7 "[2,3,4,5,6,7]" "[\"und\",\"Ratten\",\"nagen\",\"gerne\",\"an\",\"Stromkabeln\"]" "[3,6,5,5,2,12]" "[5.4068,2.5717,1.1461,3.7193,4.9913,0]" "[0.1529,0.4588,0.0118,0.1529,0.6824,0.0235]" "[140.6863,134.0418,140.629,135.4024,150.9137,128.5373]" "[\"NA\",0.2039,0.2879,0.365,\"NA\",0.8463]" "[1,1,1,1.2,1,4.1]" "1"
235.345 7.812 744953 "Exp.Trial" "ID_131_6" "Tierärzte impfen keine Kaninchen gegen Tollwut. " 23 "[[208.5,285.5,384,384],[285.5,351.5,384,384],[351.5,461.5,384,384],[461.5,527.5,384,384],[527.5,621,384,384]]" 23 "v4" 6 "[2,3,4,5,6]" "[\"impfen\",\"keine\",\"Kaninchen\",\"gegen\",\"Tollwut\"]" "[6,5,9,5,8]" "[1.2553,4.6341,2.3075,3.9526,1.4914]" "[0,0,0,0.4048,0.3214]" "[139.9444,129.8745,134.0985,148.7584,115.5152]" "[0.9985,0.2879,0.7211,0.2879,0.6688]" "[1.9,1,2.5,1,3]" NA
245.65 6.776 755258 "Exp.Trial" "ID_132_8" "Die Hunde der Wächter bellen beim geringsten Anlass. " 24 "[[142.5,208.5,384,384],[208.5,252.5,384,384],[252.5,340.5,384,384],[340.5,417.5,384,384],[417.5,472.5,384,384],[472.5,593.5,384,384],[593.5,665,384,384]]" 24 "v4" 8 "[2,3,4,5,6,7,8]" "[\"Hunde\",\"der\",\"Wächter\",\"bellen\",\"beim\",\"geringsten\",\"Anlaß\"]" "[5,3,7,6,4,10,7]" "[3.0191,5.3728,2.5502,1.8513,3.8822,2.0253,2.4082]" "[0,0.0118,0.0118,0.1412,0,0.0353,0.1765]" "[147.4306,134.7281,135.2303,129.0052,140.9324,132.8855,\"NA\"]" "[0.2879,\"NA\",0.4885,0.1818,\"NA\",0.1865,\"NA\"]" "[1,1,1.85,1.15,1.05,2.35,1.9]" NA
254.933 5.687 764541 "Exp.Trial" "ID_133_7" "Affen kraulen sich oft stundenlang das Fell. " 25 "[[164.5,252.5,384,384],[252.5,307.5,384,384],[307.5,351.5,384,384],[351.5,483.5,384,384],[483.5,527.5,384,384],[527.5,588,384,384]]" 25 "v4" 7 "[2,3,4,5,6,7]" "[\"kraulen\",\"sich\",\"oft\",\"stundenlang\",\"das\",\"Fell\"]" "[7,4,3,11,3,5]" "[0.7782,4.9203,3.638,2.2304,5.5145,2.0607]" "[0,0.8706,0.0824,0,0.1529,0.8471]" "[126.5619,134.2902,124.7582,134.2132,141.2889,105.7459]" "[0.2506,\"NA\",\"NA\",0.1611,\"NA\",0.783]" "[1.65,1,1,2.45,1,1]" NA
262.755 10.909 772363 "Exp.Trial" "ID_134_9" "Die Forscher stapfen durch den Schnee zurück zum Lager. " 26 "[[142.5,241.5,384,384],[241.5,329.5,384,384],[329.5,395.5,384,384],[395.5,439.5,384,384],[439.5,516.5,384,384],[516.5,593.5,384,384],[593.5,637.5,384,384],[637.5,709,384,384]]" 26 "v4" 9 "[2,3,4,5,6,7,8,9]" "[\"Forscher\",\"stapfen\",\"durch\",\"den\",\"Schnee\",\"zurück\",\"zum\",\"Lager\"]" "[8,7,5,3,6,6,3,6]" "[1.8865,0.7782,4.1794,5.163,2.7796,4.3538,4.5244,2.9074]" "[0,0,0.4706,0.6824,0.1647,0.0118,0.2353,0.2353]" "[126.8221,134.549,133.3584,143.4627,139.1706,125.9222,135.7948,119.1373]" "[0.3813,0.4885,0.7319,\"NA\",0.9885,0.9931,\"NA\",0.3178]" "[1.85,1.85,1.3,1,1.8,1.2,1,1]" NA
277.092 9.13 786700 "Exp.Trial" "ID_135_9" "Viele Babys schielen nach der Geburt eine Weile lang. " 27 "[[164.5,230.5,384,384],[230.5,329.5,384,384],[329.5,384.5,384,384],[384.5,428.5,384,384],[428.5,505.5,384,384],[505.5,560.5,384,384],[560.5,626.5,384,384],[626.5,687,384,384]]" 27 "v4" 9 "[2,3,4,5,6,7,8,9]" "[\"Babys\",\"schielen\",\"nach\",\"der\",\"Geburt\",\"eine\",\"Weile\",\"lang\"]" "[5,8,4,3,6,4,5,5]" "[2.749,0.9542,4.6686,5.3728,2.7627,5.0745,3.2831,3.7592]" "[0,0,0.1294,0.6353,0.6118,0.0353,0.6118,0.2235]" "[149.7859,125.5706,133.8824,134.7281,134.5405,124.5343,128.8424,116.869]" "[0.8355,0.0318,\"NA\",\"NA\",0.9787,\"NA\",0.2879,0.5923]" "[1.45,1.4,1,1,1.85,1,1,1]" NA
288.692 5.443 798300 "Exp.Trial" "ID_136_9" "Die Bäume in den Wäldern speichern sehr viel Wasser. " 28 "[[142.5,208.5,384,384],[208.5,241.5,384,384],[241.5,285.5,384,384],[285.5,373.5,384,384],[373.5,483.5,384,384],[483.5,538.5,384,384],[538.5,593.5,384,384],[593.5,676,384,384]]" 28 "v4" 9 "[2,3,4,5,6,7,8,9]" "[\"Bäume\",\"in\",\"den\",\"Wäldern\",\"speichern\",\"sehr\",\"viel\",\"Wasser\"]" "[5,2,3,7,9,4,4,7]" "[2.6812,5.2604,5.163,2.0374,1.7559,4.4877,4.3869,3.7491]" "[0.0119,0.0714,0.119,0.4167,0,0.0476,0.9405,0.5476]" "[151.9231,117.7196,143.4627,138.2415,130.681,139.1863,112.0353,118.7798]" "[0.7319,\"NA\",\"NA\",0.5984,0.1971,\"NA\",\"NA\",0.4883]" "[1.6,1,1,1.85,2.05,1,1,1.15]" NA
296.982 8.34 806590 "Exp.Trial" "ID_137_7" "Die meisten Leute schummeln beim Spielen gelegentlich. " 29 "[[142.5,230.5,384,384],[230.5,296.5,384,384],[296.5,406.5,384,384],[406.5,461.5,384,384],[461.5,549.5,384,384],[549.5,698,384,384]]" 29 "v4" 7 "[2,3,4,5,6,7]" "[\"meisten\",\"Leute\",\"schummeln\",\"beim\",\"Spielen\",\"gelegentlich\"]" "[7,5,9,4,7,13]" "[3.3869,4.3015,1.4914,3.8822,2.8287,2.0531]" "[0.0241,0.2289,0,0.3855,0.1807,0]" "[130.0202,127.0659,136.932,140.9324,135.4174,124.4881]" "[0.0917,0.3216,0.2017,\"NA\",0.103,0.2039]" "[1.25,1,2.1,1.05,1.5,3.05]" NA
307.973 8.009 817581 "Exp.Trial" "ID_138_10" "Nach dem Spiel massieren die Therapeuten den Spielern die Beine. " 30 "[[153.5,197.5,384,384],[197.5,263.5,384,384],[263.5,373.5,384,384],[373.5,417.5,384,384],[417.5,549.5,384,384],[549.5,593.5,384,384],[593.5,692.5,384,384],[692.5,736.5,384,384],[736.5,808,384,384]]" 30 "v4" 10 "[2,3,4,5,6,7,8,9,10]" "[\"dem\",\"Spiel\",\"massieren\",\"die\",\"Therapeuten\",\"den\",\"Spielern\",\"die\",\"Beine\"]" "[3,5,9,3,11,3,8,3,6]" "[4.875,3.7208,1.8751,5.5136,1.9294,5.163,1.5798,5.5136,3.17]" "[0.3529,0.0471,0,0.5882,0.0353,0.1412,0.1294,0.7176,0.3647]" "[155.5216,144.0988,128.8601,133.0667,135.2635,143.4627,131.8789,133.0667,120.0542]" "[\"NA\",0.5646,0.0573,\"NA\",0.3886,\"NA\",0.1879,\"NA\",0.2879]" "[1,1.15,1.6,1,3.4,1,1.75,1,1]" "1"
