"trialNr","nwords","stim_file","trialID","taskVersion","aoi","aoiInfo_wordPosition","aoiInfo_word","aoiInfo_nchar","aoiInfo_freq","aoiInfo_pred","aoiInfo_lum_norm","aoiInfo_simBOLD_res","aoiInfo_OLD20"
35,9,"Das Pferd ist seinem Reiter auf den Fuß getreten. ","ID_35_9","v1","[[142.5,208.5,384,384],[208.5,252.5,384,384],[252.5,329.5,384,384],[329.5,406.5,384,384],[406.5,450.5,384,384],[450.5,494.5,384,384],[494.5,538.5,384,384],[538.5,643,384,384]]","[2,3,4,5,6,7,8,9]","[""Pferd"",""ist"",""seinem"",""Reiter"",""auf"",""den"",""Fuß"",""getreten""]","[5,3,6,6,3,3,3,9]","[3.1048,5.6767,3.7476,2.1106,5.1189,5.163,3.1717,2.5441]","[0,0.2,0,0.4118,0.0118,0.2,0.2706,0.7529]","[137.1043,114.8797,132.415,127.432,140.6131,143.4627,144.3856,119.6553]","[0.7847,""NA"",0.2119,0.2058,""NA"",""NA"",""NA"",0.3813]","[1.85,1,1.05,1,1,1,1,1.85]"
36,7,"Kein einziges Tor fiel im gestrigen Spiel. ","ID_36_7","v1","[[153.5,252.5,384,384],[252.5,296.5,384,384],[296.5,351.5,384,384],[351.5,384.5,384,384],[384.5,494.5,384,384],[494.5,566,384,384]]","[2,3,4,5,6,7]","[""einziges"",""Tor"",""fiel"",""im"",""gestrigen"",""Spiel""]","[8,3,4,2,9,6]","[2.7505,3.092,3.0103,4.7586,1.8325,3.7208]","[0,0,0.0471,0.0824,0,0.5647]","[126.9863,130.5451,118.102,135.8078,132.8379,120.0824]","[0.0668,""NA"",""NA"",""NA"",0.1952,0.5646]","[1.6,1,1,1,1.9,1.15]"
37,9,"Der Skandal hat dem Ruf des Politikers deutlich geschadet. ","ID_37_9","v2","[[142.5,230.5,384,384],[230.5,274.5,384,384],[274.5,318.5,384,384],[318.5,362.5,384,384],[362.5,406.5,384,384],[406.5,527.5,384,384],[527.5,626.5,384,384],[626.5,742,384,384]]","[2,3,4,5,6,7,8,9]","[""Skandal"",""hat"",""dem"",""Ruf"",""des"",""Politikers"",""deutlich"",""geschadet""]","[7,3,3,3,3,10,8,10]","[2.1875,5.0598,4.875,3.3077,4.4516,0.8451,2.8,1.8865]","[0,0.0471,0.0235,0.0235,0.6118,0.1765,0,0.8588]","[141.3619,133.7059,155.5216,143.4444,141.3124,122.4435,127.1794,128.4278]","[0.8813,""NA"",""NA"",""NA"",""NA"",0.4636,0.4204,0.3714]","[2.05,1,1,1,1,2.7,1.9,2.2]"
38,7,"Als Kapitalanlage ist Gold nicht zu empfehlen. ","ID_38_7","v2","[[142.5,296.5,384,384],[296.5,340.5,384,384],[340.5,395.5,384,384],[395.5,461.5,384,384],[461.5,494.5,384,384],[494.5,610,384,384]]","[2,3,4,5,6,7]","[""Kapitalanlage"",""ist"",""Gold"",""nicht"",""zu"",""empfehlen""]","[13,3,4,5,2,10]","[0.6021,5.6767,3.1261,5.6257,5.3601,2.2695]","[0,0.0941,0.0118,0.2118,0.2471,0.5059]","[134.0796,114.8797,143.0049,131.8525,118.9471,130.029]","[0.7903,""NA"",""NA"",0.2879,""NA"",0.3068]","[4.75,1,1,1,1,2.05]"
39,9,"Markus klettert gern auf den alten Baum im Garten. ","ID_39_9","v2","[[175.5,274.5,384,384],[274.5,329.5,384,384],[329.5,373.5,384,384],[373.5,417.5,384,384],[417.5,483.5,384,384],[483.5,538.5,384,384],[538.5,571.5,384,384],[571.5,654,384,384]]","[2,3,4,5,6,7,8,9]","[""klettert"",""gern"",""auf"",""den"",""alten"",""Baum"",""im"",""Garten""]","[8,4,3,3,5,4,2,7]","[1.6812,3.8267,5.1189,5.163,3.5396,3.0082,4.7586,2.8681]","[0,0.1529,0.8471,0.0941,0,0.6706,0.1647,0.8235]","[122.0779,136.4157,140.6131,143.4627,124.0439,152.1853,135.8078,117.898]","[0.0975,""NA"",""NA"",""NA"",0.2879,""NA"",""NA"",0.2119]","[1.65,1,1,1,1,1,1,1]"
40,7,"Sarah hat ihrem Opa ein Bild gemalt. ","ID_40_7","v2","[[164.5,208.5,384,384],[208.5,274.5,384,384],[274.5,318.5,384,384],[318.5,362.5,384,384],[362.5,417.5,384,384],[417.5,500,384,384]]","[2,3,4,5,6,7]","[""hat"",""ihrem"",""Opa"",""ein"",""Bild"",""gemalt""]","[3,5,3,3,4,7]","[5.0598,3.6051,2.938,5.269,3.4123,2.4886]","[0.1977,0,0,0.3372,0.093,0.6512]","[133.7059,132.8525,155.3752,122.2627,140.3578,123.9317]","[""NA"",0.5646,""NA"",""NA"",""NA"",0.4883]","[1,1.55,1,1,1.05,1.55]"
41,7,"Medizinisch gesehen ist das Herz ein Hohlmuskel. ","ID_41_7","v2","[[230.5,318.5,384,384],[318.5,362.5,384,384],[362.5,406.5,384,384],[406.5,461.5,384,384],[461.5,505.5,384,384],[505.5,632,384,384]]","[2,3,4,5,6,7]","[""gesehen"",""ist"",""das"",""Herz"",""ein"",""Hohlmuskel""]","[7,3,3,4,3,11]","[4.2184,5.6767,5.5145,3.6443,5.269,0]","[0.7143,0.631,0.1429,0.0595,0.3571,0.0238]","[140.3289,114.8797,141.2889,134.2696,122.2627,129.3362]","[0.3605,""NA"",""NA"",""NA"",""NA"",0.4937]","[1.45,1,1,1,1,4.5]"
42,7,"Jede Sprache der Welt besitzt eine Grammatik. ","ID_42_7","v2","[[153.5,241.5,384,384],[241.5,285.5,384,384],[285.5,340.5,384,384],[340.5,428.5,384,384],[428.5,483.5,384,384],[483.5,599,384,384]]","[2,3,4,5,6,7]","[""Sprache"",""der"",""Welt"",""besitzt"",""eine"",""Grammatik""]","[7,3,4,7,4,10]","[2.9405,5.3728,4.0785,2.7193,5.0745,1.2041]","[0.0118,0.0588,0.6353,0,0.2118,0.0588]","[140.2616,134.7281,131.5971,123.8969,124.5343,128.3541]","[0.1108,""NA"",""NA"",0.4885,""NA"",0.7919]","[1.6,1,1,1.8,1,3.7]"
43,7,"Unsere Küche müßte dringend neu gestrichen werden. ","ID_43_7","v2","[[175.5,241.5,384,384],[241.5,307.5,384,384],[307.5,406.5,384,384],[406.5,450.5,384,384],[450.5,571.5,384,384],[571.5,654,384,384]]","[2,3,4,5,6,7]","[""Küche"",""müßte"",""dringend"",""neu"",""gestrichen"",""werden""]","[5,5,8,3,10,7]","[3.0962,3.2548,2.8943,3.3101,2.4166,4.69]","[0,0.0235,0.0706,0.0353,0.3294,1]","[143.2173,145.2565,139.0691,129.2275,129.2588,121.7882]","[0.9311,0.9849,0.3813,""NA"",0.0899,0.144]","[1.65,1.4,1.75,1,1.8,1]"
44,8,"Der Politiker reagierte auf keine Frage der Journalisten. ","ID_44_8","v2","[[142.5,252.5,384,384],[252.5,362.5,384,384],[362.5,406.5,384,384],[406.5,472.5,384,384],[472.5,538.5,384,384],[538.5,582.5,384,384],[582.5,731,384,384]]","[2,3,4,5,6,7,8]","[""Politiker"",""reagierte"",""auf"",""keine"",""Frage"",""der"",""Journalisten""]","[9,9,3,5,5,3,13]","[2.4346,1.7076,5.1189,4.6341,3.7415,5.3728,2.017]","[0,0,0.3721,0.0233,0.2326,0.2907,0.186]","[121.9525,125.6902,140.6131,129.8745,137.3035,134.7281,115.6959]","[0.4615,0.204,""NA"",0.2879,0.479,""NA"",0.2699]","[2.35,1.95,1,1,1.3,1,2.95]"
45,9,"Die Insel ist nur mit dem Flugzeug zu erreichen. ","ID_45_9","v2","[[142.5,208.5,384,384],[208.5,252.5,384,384],[252.5,296.5,384,384],[296.5,340.5,384,384],[340.5,384.5,384,384],[384.5,483.5,384,384],[483.5,516.5,384,384],[516.5,632,384,384]]","[2,3,4,5,6,7,8,9]","[""Insel"",""ist"",""nur"",""mit"",""dem"",""Flugzeug"",""zu"",""erreichen""]","[5,3,3,3,3,8,2,10]","[3.3008,5.6767,4.9071,5.1841,4.875,3.3355,5.3601,3.2403]","[0,0.2442,0.0233,0.1163,0.314,0.0349,0.8953,0.9884]","[123.1357,114.8797,121.1477,129.0889,155.5216,136.4451,118.9471,115.1878]","[0.9849,""NA"",""NA"",""NA"",""NA"",0.4868,""NA"",0.1769]","[1.75,1,1,1,1,2,1,1.7]"
46,8,"Es sollte mehr Strom mit Solarenergie erzeugt werden. ","ID_46_8","v2","[[131.5,208.5,384,384],[208.5,263.5,384,384],[263.5,329.5,384,384],[329.5,373.5,384,384],[373.5,516.5,384,384],[516.5,604.5,384,384],[604.5,687,384,384]]","[2,3,4,5,6,7,8]","[""sollte"",""mehr"",""Strom"",""mit"",""Solarenergie"",""erzeugt"",""werden""]","[6,4,5,3,12,7,7]","[4.1917,4.6383,2.8519,5.1841,1.0792,2.2201,4.69]","[0,0.0235,0,0,0.0824,0.4824,0.9882]","[119.9059,149.8431,137.7286,129.0889,129.4912,128.1776,121.7882]","[0.144,""NA"",0.8273,""NA"",0.9284,0.3605,0.144]","[1,1,1.65,1,4.45,1.8,1]"
47,8,"Die monotone Arbeit machte den Angestellten keinen Spaß. ","ID_47_8","v2","[[142.5,241.5,384,384],[241.5,318.5,384,384],[318.5,395.5,384,384],[395.5,439.5,384,384],[439.5,582.5,384,384],[582.5,659.5,384,384],[659.5,720,384,384]]","[2,3,4,5,6,7,8]","[""monotone"",""Arbeit"",""machte"",""den"",""Angestellten"",""keinen"",""Spaß""]","[8,6,6,3,12,6,5]","[0.301,3.9824,3.4275,5.163,2.3838,4.1838,3.6986]","[0,0.1294,0.0588,0.0471,0.0941,0.3176,0.7882]","[133.5088,130.3928,136.451,143.4627,131.2784,130.4477,135.3835]","[1,0.9897,0.144,""NA"",0.0631,0.144,0.9927]","[2.65,1.7,1,1,2.1,1,1.25]"
48,9,"In dem kleinen Zimmer standen viel zu viele Möbel. ","ID_48_9","v2","[[131.5,175.5,384,384],[175.5,263.5,384,384],[263.5,340.5,384,384],[340.5,428.5,384,384],[428.5,483.5,384,384],[483.5,516.5,384,384],[516.5,582.5,384,384],[582.5,654,384,384]]","[2,3,4,5,6,7,8,9]","[""dem"",""kleinen"",""Zimmer"",""standen"",""viel"",""zu"",""viele"",""Möbel""]","[3,7,6,7,4,2,5,6]","[4.875,3.656,3.6769,2.6149,4.3869,5.3601,4.019,2.3263]","[0.0119,0.0476,0.0238,0,0.0238,0.2738,0.4524,0.631]","[155.5216,127.3305,138.1497,133.9277,112.0353,118.9471,115.898,129.1987]","[""NA"",0.0954,0.2646,0.1715,""NA"",""NA"",0.365,0.9849]","[1,1.4,1.25,1.45,1,1,1,1.85]"
49,9,"Das Fenster im Flur klemmt seit ein paar Tagen. ","ID_49_9","v2","[[142.5,230.5,384,384],[230.5,263.5,384,384],[263.5,318.5,384,384],[318.5,395.5,384,384],[395.5,450.5,384,384],[450.5,494.5,384,384],[494.5,549.5,384,384],[549.5,621,384,384]]","[2,3,4,5,6,7,8,9]","[""Fenster"",""im"",""Flur"",""klemmt"",""seit"",""ein"",""paar"",""Tagen""]","[7,2,4,6,4,3,4,6]","[3.329,4.7586,2.5391,2.2304,3.9332,5.269,4.1455,3.4551]","[0,0.0595,0.0714,0,0.0714,0,0.6905,0.6905]","[132.2515,135.8078,120.4118,140.8569,118.9971,122.2627,135.6873,127.2124]","[0.3605,""NA"",""NA"",0.3558,""NA"",""NA"",""NA"",0.2879]","[1.7,1,1.15,1.7,1,1,1.35,1]"
50,9,"Die Sekretärin informierte den Kanzler erst am nächsten Morgen. ","ID_50_9","v2","[[142.5,263.5,384,384],[263.5,395.5,384,384],[395.5,439.5,384,384],[439.5,527.5,384,384],[527.5,582.5,384,384],[582.5,615.5,384,384],[615.5,714.5,384,384],[714.5,797,384,384]]","[2,3,4,5,6,7,8,9]","[""Sekretärin"",""informierte"",""den"",""Kanzler"",""erst"",""am"",""nächsten"",""Morgen""]","[10,11,3,7,4,2,8,7]","[2.4472,1.699,5.163,2.3181,3.9049,4.3613,3.5832,3.9325]","[0,0,0.5176,0,0,0.1412,0.3529,0.0706]","[129.8122,123.4763,143.4627,128.2583,120.2431,150.3843,132.7789,128.6549]","[0.671,0.0568,""NA"",0.8193,""NA"",""NA"",0.1164,0.2448]","[2.9,1.75,1,1.9,1,1,1.55,1]"
51,9,"Vielleicht gibt es bald im Dezember Ostereier zu kaufen. ","ID_51_9","v2","[[219.5,274.5,384,384],[274.5,307.5,384,384],[307.5,362.5,384,384],[362.5,395.5,384,384],[395.5,494.5,384,384],[494.5,604.5,384,384],[604.5,637.5,384,384],[637.5,720,384,384]]","[2,3,4,5,6,7,8,9]","[""gibt"",""es"",""bald"",""im"",""Dezember"",""Ostereier"",""zu"",""kaufen""]","[4,2,4,2,8,9,2,7]","[4.4259,5.4176,3.7711,4.7586,2.243,0.699,5.3601,3.436]","[0.0471,0.9176,0.0706,0,0,0,0.4471,0.3765]","[138.1078,129.1059,141.599,135.8078,139.4725,123.8523,118.9471,119.6768]","[""NA"",""NA"",""NA"",""NA"",0.9837,0.9948,""NA"",0.1952]","[1,1,1.45,1,2.55,2.95,1,1.2]"
52,10,"Das kleine Unternehmen konnte sich die teure Maschine nicht leisten. ","ID_52_10","v2","[[142.5,219.5,384,384],[219.5,351.5,384,384],[351.5,428.5,384,384],[428.5,483.5,384,384],[483.5,527.5,384,384],[527.5,593.5,384,384],[593.5,692.5,384,384],[692.5,758.5,384,384],[758.5,852,384,384]]","[2,3,4,5,6,7,8,9,10]","[""kleine"",""Unternehmen"",""konnte"",""sich"",""die"",""teure"",""Maschine"",""nicht"",""leisten""]","[6,11,6,4,3,5,8,5,8]","[3.7505,2.4928,3.9225,4.9203,5.5136,2.1038,3.0917,5.6257,3.0983]","[0.0357,0,0.0833,0.4167,0.0238,0,0.2262,0.9167,0.9286]","[126.3333,136.246,132.1967,134.2902,133.0667,121.6957,135.6544,131.8525,110.8142]","[0.2119,0.0568,0.2798,""NA"",""NA"",0.5201,0.5289,0.2879,0.0954]","[1.35,1.7,1,1,1,1.4,1.75,1,1.25]"
53,6,"Der Franzose gewann gegen den Belgier. ","ID_53_6","v2","[[142.5,241.5,384,384],[241.5,318.5,384,384],[318.5,384.5,384,384],[384.5,428.5,384,384],[428.5,522,384,384]]","[2,3,4,5,6]","[""Franzose"",""gewann"",""gegen"",""den"",""Belgier""]","[8,6,5,3,8]","[2.1303,2.3674,3.9526,5.163,1.4314]","[0,0,0,0.7412,0.0118]","[126.9995,141.5967,148.7584,143.4627,122.0799]","[0.8338,0.9885,0.2879,""NA"",0.9233]","[2.6,1.85,1,1,1.9]"
54,9,"Jan hat sich zum dritten mal die Schulter ausgekugelt. ","ID_54_9","v2","[[142.5,186.5,384,384],[186.5,241.5,384,384],[241.5,285.5,384,384],[285.5,373.5,384,384],[417.5,461.5,384,384],[461.5,560.5,384,384],[560.5,698,384,384]]","[2,3,4,5,7,8,9]","[""hat"",""sich"",""zum"",""dritten"",""die"",""Schulter"",""ausgekugelt""]","[3,4,3,7,3,8,12]","[5.0598,4.9203,4.5244,2.7419,5.5136,2.7566,1.2304]","[0.2118,0.0706,0,0.0235,0.0353,0.0235,0.1529]","[133.7059,134.2902,135.7948,124.4179,133.0667,128.0961,127.284]","[""NA"",""NA"",""NA"",0.0917,""NA"",0.3813,0.2737]","[1,1,1,1.3,1,1.6,2.8]"
55,10,"Der Bischof erschien mit seinem neuen Sekretär auf der Konferenz. ","ID_55_10","v2","[[142.5,230.5,384,384],[230.5,329.5,384,384],[329.5,373.5,384,384],[373.5,450.5,384,384],[450.5,516.5,384,384],[516.5,615.5,384,384],[615.5,659.5,384,384],[659.5,703.5,384,384],[703.5,819,384,384]]","[2,3,4,5,6,7,8,9,10]","[""Bischof"",""erschien"",""mit"",""seinem"",""neuen"",""Sekretär"",""auf"",""der"",""Konferenz""]","[7,8,3,6,5,8,3,3,10]","[2.2279,2.3784,5.1841,3.7476,3.6082,1.9031,5.1189,5.3728,2.301]","[0,0,0.0588,0.2588,0.0353,0.0235,0.1294,0.5529,0.0824]","[134.786,125.3809,129.0889,132.415,130.469,132.8353,140.6131,134.7281,121.8424]","[0.9597,0.2928,""NA"",0.2119,0.5339,1,""NA"",""NA"",0.7751]","[2.6,1.6,1,1.05,1.4,2.45,1,1,2.65]"
56,7,"Das Schicksal führte die Freunde wieder zusammen. ","ID_56_7","v2","[[142.5,252.5,384,384],[252.5,329.5,384,384],[329.5,373.5,384,384],[373.5,461.5,384,384],[461.5,538.5,384,384],[538.5,643,384,384]]","[2,3,4,5,6,7]","[""Schicksal"",""führte"",""die"",""Freunde"",""wieder"",""zusammen""]","[9,6,3,7,6,9]","[3.2851,2.7364,5.5136,3.8472,4.6018,4.0477]","[0,0,0.1494,0.0115,0.2069,0.9195]","[130.6545,130.1915,133.0667,133.5367,130.6824,126.2458]","[0.4615,0.2646,""NA"",0.0954,0.2039,0.4563]","[1.85,1.4,1,1.4,1.1,1.85]"
57,6,"Vor Gericht wurde die Situation nachgestellt. ","ID_57_6","v2","[[142.5,230.5,384,384],[230.5,296.5,384,384],[296.5,340.5,384,384],[340.5,450.5,384,384],[450.5,599,384,384]]","[2,3,4,5,6]","[""Gericht"",""wurde"",""die"",""Situation"",""nachgestellt""]","[7,5,3,9,13]","[3.0554,4.3525,5.5136,3.2248,1.2553]","[0,0.0116,0.0814,0,0]","[128.0745,134.7278,133.0667,124.3952,121.9056]","[0.0577,0.3663,""NA"",0.7373,0.1827]","[1.4,1,1,2.3,2.95]"
58,6,"Das Wetter im September spielte verrückt. ","ID_58_6","v2","[[142.5,219.5,384,384],[219.5,252.5,384,384],[252.5,362.5,384,384],[362.5,450.5,384,384],[450.5,555,384,384]]","[2,3,4,5,6]","[""Wetter"",""im"",""September"",""spielte"",""verrückt""]","[6,2,9,7,9]","[2.791,4.7586,2.5717,2.8338,3.7989]","[0.0588,0,0,0,0.3647]","[128.6451,135.8078,143.1346,127.0067,112.7804]","[0.2039,""NA"",0.9948,0.0962,0.0668]","[1,1,3.35,1.65,1.15]"
59,8,"Die diesjährige Konferenz der Wissenschaftler dauerte vier Tage. ","ID_59_8","v2","[[142.5,274.5,384,384],[274.5,384.5,384,384],[384.5,428.5,384,384],[428.5,604.5,384,384],[604.5,692.5,384,384],[692.5,747.5,384,384],[747.5,808,384,384]]","[2,3,4,5,6,7,8]","[""diesjährige"",""Konferenz"",""der"",""Wissenschaftl"",""dauerte"",""vier"",""Tage""]","[11,9,3,15,7,4,5]","[1.5798,2.301,5.3728,2.692,2.3979,3.5702,3.6762]","[0.0119,0.0238,0.0833,0.0357,0,0.0119,0.6667]","[133.2695,135.3804,134.7281,""NA"",129.3546,111.6559,125.9922]","[0.1369,0.7751,""NA"",""NA"",0.1108,""NA"",0.5923]","[2.5,2.65,1,2.4,1.65,1,1]"
60,8,"Der Hirte wanderte mehrere Kilometer durch die Wüste. ","ID_60_8","v2","[[142.5,208.5,384,384],[208.5,307.5,384,384],[307.5,395.5,384,384],[395.5,505.5,384,384],[505.5,571.5,384,384],[571.5,615.5,384,384],[615.5,687,384,384]]","[2,3,4,5,6,7,8]","[""Hirte"",""wanderte"",""mehrere"",""Kilometer"",""durch"",""die"",""Wüste""]","[5,8,7,9,5,3,6]","[1.8865,1.8062,2.8222,2.6618,4.1794,5.5136,2.8338]","[0,0.0118,0,0.2353,0.2,0.6353,0.0353]","[127.9961,132.7765,133.135,129.4749,133.3584,133.0667,120.734]","[0.6327,0.1164,0.6809,0.7621,0.7319,""NA"",0.5201]","[1.45,1.7,1.65,2.5,1.3,1,1.3]"
61,7,"Yvonne trat unglücklicherweise auf eine Tube Klebstoff. ","ID_61_7","v2","[[175.5,230.5,384,384],[230.5,439.5,384,384],[439.5,483.5,384,384],[483.5,538.5,384,384],[538.5,593.5,384,384],[593.5,709,384,384]]","[2,3,4,5,6,7]","[""trat"",""unglücklicher"",""auf"",""eine"",""Tube"",""Klebstoff""]","[4,18,3,4,4,10]","[2.3263,1.7993,5.1189,5.0745,1.5441,1.6721]","[0,0,0.1647,0.2588,0,0.0471]","[117.4225,""NA"",140.6131,124.5343,142.8353,124.0675]","[""NA"",""NA"",""NA"",""NA"",""NA"",0.9419]","[1,4.3,1,1,1,3.4]"
62,5,"Manuela reagiert auf Senf allergisch. ","ID_62_5","v2","[[186.5,285.5,384,384],[285.5,329.5,384,384],[329.5,384.5,384,384],[384.5,511,384,384]]","[2,3,4,5]","[""reagiert"",""auf"",""Senf"",""allergisch""]","[8,3,4,11]","[2.6902,5.1189,2.0934,2.2068]","[0,0.3012,0,0.6265]","[124.9828,140.6131,140.7608,118.0039]","[0.1879,""NA"",""NA"",0.4636]","[1.65,1,1.6,3]"
63,6,"Martins gebrochener Zeh schwoll rasch an. ","ID_63_6","v2","[[186.5,318.5,384,384],[318.5,362.5,384,384],[362.5,450.5,384,384],[450.5,516.5,384,384],[516.5,555,384,384]]","[2,3,4,5,6]","[""gebrochener"",""Zeh"",""schwoll"",""rasch"",""an""]","[11,3,7,5,3]","[1.301,2.238,1.0792,2.1818,4.9913]","[0,0.0118,0,0,0.9412]","[134.1355,145.1908,127.1154,127.2376,100.6092]","[0.0469,""NA"",0.682,0.9849,""NA""]","[2.15,1,1.9,1.3,1]"
64,11,"Der alte Kapitän goß stets ein wenig Rum in seinen Tee. ","ID_64_11","v2","[[142.5,197.5,384,384],[197.5,285.5,384,384],[285.5,329.5,384,384],[329.5,395.5,384,384],[395.5,439.5,384,384],[439.5,505.5,384,384],[505.5,549.5,384,384],[549.5,582.5,384,384],[582.5,659.5,384,384],[659.5,709,384,384]]","[2,3,4,5,6,7,8,9,10,11]","[""alte"",""Kapitän"",""goß"",""stets"",""ein"",""wenig"",""Rum"",""in"",""seinen"",""Tee""]","[4,7,3,5,3,5,3,2,6,4]","[3.5243,2.8573,1.2788,2.6138,5.269,3.7441,2.2253,5.2604,3.8876,3.1726]","[0.0118,0,0,0,0.0824,0.0353,0.3647,0.8,0.2235,0.5294]","[121.7265,139.6443,156.485,123.2753,122.2627,137.4227,156.5059,117.7196,126.3856,114.0353]","[""NA"",0.8813,""NA"",0.5339,""NA"",0.9311,""NA"",""NA"",0.144,""NA""]","[1,1.7,1.2,1.7,1,1.7,1,1,1,1]"
65,9,"Die schmale Öse ist zu klein für den Faden. ","ID_65_9","v2","[[142.5,230.5,384,384],[230.5,274.5,384,384],[274.5,318.5,384,384],[318.5,351.5,384,384],[351.5,417.5,384,384],[417.5,461.5,384,384],[461.5,505.5,384,384],[505.5,577,384,384]]","[2,3,4,5,6,7,8,9]","[""schmale"",""Öse"",""ist"",""zu"",""klein"",""für"",""den"",""Faden""]","[7,3,3,2,5,3,3,6]","[1.3424,0,5.6767,5.3601,3.2598,5.0261,5.163,2.1847]","[0,0,0.2738,0.3333,0.4881,0.7024,0.5833,0.4643]","[134.0779,146.498,114.8797,118.9471,125.3302,126.6536,143.4627,123.632]","[0.1276,""NA"",""NA"",""NA"",0.6327,""NA"",""NA"",0.3663]","[1.65,1.4,1,1,1.55,1,1,1.1]"
66,7,"Die Tänzer probten ihre Kür besonders intensiv. ","ID_66_7","v2","[[142.5,219.5,384,384],[219.5,307.5,384,384],[307.5,362.5,384,384],[362.5,406.5,384,384],[406.5,516.5,384,384],[516.5,621,384,384]]","[2,3,4,5,6,7]","[""Tänzer"",""probten"",""ihre"",""Kür"",""besonders"",""intensiv""]","[6,7,4,3,9,9]","[2.1903,1.3802,4.1595,0.9542,3.3235,2.1173]","[0,0,0.0471,0.0941,0.0118,0.2235]","[132.2765,135.6555,123.6931,140.3033,134.6283,109.7795]","[0.8162,0.5984,""NA"",""NA"",0.2515,0.6267]","[1.75,1.85,1,1.05,1.65,2.55]"
67,10,"Nach dem Streit schien alles wieder im Lot zu sein. ","ID_67_10","v2","[[153.5,197.5,384,384],[197.5,274.5,384,384],[274.5,351.5,384,384],[351.5,417.5,384,384],[417.5,494.5,384,384],[494.5,527.5,384,384],[527.5,571.5,384,384],[571.5,604.5,384,384],[604.5,665,384,384]]","[2,3,4,5,6,7,8,9,10]","[""dem"",""Streit"",""schien"",""alles"",""wieder"",""im"",""Lot"",""zu"",""sein""]","[3,6,6,5,6,2,3,2,5]","[4.875,2.934,2.8639,4.6264,4.6018,4.7586,1.7709,5.3601,4.8345]","[0.3529,0,0,0.4941,0.5529,0.0118,0.6824,0.9647,1]","[155.5216,123.3268,127.4314,128.7961,130.6824,135.8078,125.9765,118.9471,106.1773]","[""NA"",0.2798,0.3558,0.3175,0.2039,""NA"",""NA"",""NA"",0.5923]","[1,1.55,1.1,1,1.1,1,1,1,1]"
68,8,"Der frisch gekochte Brei war noch zu heiß. ","ID_68_8","v2","[[142.5,219.5,384,384],[219.5,318.5,384,384],[318.5,373.5,384,384],[373.5,417.5,384,384],[417.5,472.5,384,384],[472.5,505.5,384,384],[505.5,566,384,384]]","[2,3,4,5,6,7,8]","[""frisch"",""gekochte"",""Brei"",""war"",""noch"",""zu"",""heiß""]","[6,8,4,3,4,2,5]","[2.7846,1.415,2.1303,5.0288,4.9381,5.3601,3.2625]","[0,0.0353,0.0824,0.1882,0.1412,0.2706,0.8941]","[122.8902,137.8412,131.3843,140.6863,133.1422,118.9471,118.429]","[0.3558,0.1164,""NA"",""NA"",""NA"",""NA"",0.7323]","[1.65,1.7,1.25,1,1,1,1]"
69,7,"Die Schneiderin steckte die Naht sorgfältig ab. ","ID_69_7","v2","[[142.5,274.5,384,384],[274.5,362.5,384,384],[362.5,406.5,384,384],[406.5,461.5,384,384],[461.5,582.5,384,384],[582.5,621,384,384]]","[2,3,4,5,6,7]","[""Schneiderin"",""steckte"",""die"",""Naht"",""sorgfältig"",""ab""]","[11,7,3,4,10,3]","[1.415,2.4472,5.5136,1.6335,2.2227,4.2118]","[0,0.0233,0.2558,0.0465,0.0233,0.5]","[131.4021,126.9782,133.0667,146.9137,131.7584,109.7595]","[0.1369,0.1276,""NA"",""NA"",0.969,""NA""]","[2.45,1.65,1,1.1,3.7,1]"
70,8,"Auf dem höchsten Mast hielt der Pirat Wache. ","ID_70_8","v2","[[142.5,186.5,384,384],[186.5,285.5,384,384],[285.5,340.5,384,384],[340.5,406.5,384,384],[406.5,450.5,384,384],[450.5,516.5,384,384],[516.5,588,384,384]]","[2,3,4,5,6,7,8]","[""dem"",""höchsten"",""Mast"",""hielt"",""der"",""Pirat"",""Wache""]","[3,8,4,5,3,5,6]","[4.875,2.2553,1.6902,3.0554,5.3728,2.0969,2.7846]","[0.3256,0,0,0,0.2558,0,0.0233]","[155.5216,135.0186,140.7902,122.3882,134.7281,121.4392,123.5935]","[""NA"",0.0668,""NA"",0.6327,""NA"",0.7847,0.2879]","[1,1.65,1,1.55,1,1.85,1]"
71,8,"Claudia kann Salatsaucen mit viel Essig nicht ausstehen. ","ID_71_8","v2","[[186.5,241.5,384,384],[241.5,373.5,384,384],[373.5,417.5,384,384],[417.5,472.5,384,384],[472.5,538.5,384,384],[538.5,604.5,384,384],[604.5,720,384,384]]","[2,3,4,5,6,7,8]","[""kann"",""Salatsaucen"",""mit"",""viel"",""Essig"",""nicht"",""ausstehen""]","[4,11,3,4,5,5,10]","[4.8285,0,5.1841,4.3869,1.6628,5.6257,2.2765]","[0.0119,0,0.0238,0.0238,0.0833,0.619,0.1429]","[137.2853,128.862,129.0889,112.0353,141.2533,131.8525,121.111]","[""NA"",0.7208,""NA"",""NA"",0.9048,0.2879,0.0815]","[1,3.95,1,1,1.9,1,1.75]"
