"onset" "duration" "sample" "trial_type" "eventIdentifier" "event_nr" "aoi" "trial" "target_word" "color" "mask" "underlining" "sentenceNr" "response"
216.068 2.93 12257830 "Exp.Trial" "MASKSCREEN_START_Mimik_E_LET_U_352" 40 "[[341,418,384,384]]" 40 "Mimik" "blue" "non-degradated" "underlined" "293" NA
220.642 3.168 12262404 "Exp.Trial" "MASKSCREEN_START_Hülle_E_LET_U_252" 41 "[[241,318,384,384]]" 41 "Hülle" "blue" "non-degradated" "underlined" "294" NA
225.236 1.589 12266998 "Exp.Trial" "MASKSCREEN_START_Rache_E_DEG_U_302" 42 "[[291,368,384,384]]" 42 "Rache" "blue" "degradated" "underlined" "223" NA
228.495 3.246 12270257 "Exp.Trial" "MASKSCREEN_START_Fauna_K_DEG_U_339" 43 "[[328,405,384,384]]" 43 "Fauna" "black" "degradated" "underlined" "68" NA
233.668 2.862 12275430 "Exp.Trial" "MASKSCREEN_START_Quint_E_LET_N_513" 44 "[[502,579,384,384]]" 44 "Quint" "blue" "non-degradated" "not underlined" "265" NA
239.647 2.479 12281409 "Exp.Trial" "MASKSCREEN_START_Villa_E_DEG_U_314" 45 "[[303,380,384,384]]" 45 "Villa" "blue" "degradated" "underlined" "240" NA
243.732 2.516 12285494 "Exp.Trial" "MASKSCREEN_START_Kehle_E_LET_U_277" 46 "[[266,343,384,384]]" 46 "Kehle" "blue" "non-degradated" "underlined" "319" NA
250.7 2.773 12292462 "Exp.Trial" "MASKSCREEN_START_Brust_E_LET_N_314" 47 "[[303,380,384,384]]" 47 "Brust" "blue" "non-degradated" "not underlined" "251" NA
256.542 2.319 12298304 "Exp.Trial" "MASKSCREEN_START_Feger_E_LET_U_240" 48 "[[229,306,384,384]]" 48 "Feger" "blue" "non-degradated" "underlined" "285" NA
261.979 1.843 12303741 "Exp.Trial" "MASKSCREEN_START_Notiz_E_LET_N_302" 49 "[[291,368,384,384]]" 49 "Notiz" "blue" "non-degradated" "not underlined" "242" NA
267.999 1.725 12309761 "Exp.Trial" "MASKSCREEN_START_Motor_K_LET_N_252" 50 "[[241,318,384,384]]" 50 "Motor" "black" "non-degradated" "not underlined" "89" NA
273.462 3.111 12315224 "Exp.Trial" "MASKSCREEN_START_Beuge_K_DEG_U_426" 51 "[[415,492,384,384]]" 51 "Beuge" "black" "degradated" "underlined" "73" NA
278.26 2.161 12320022 "Exp.Trial" "MASKSCREEN_START_Mappe_K_DEG_N_252" 52 "[[241,318,384,384]]" 52 "Mappe" "black" "degradated" "not underlined" "32" 0
289.746 1.874 12331508 "Exp.Trial" "MASKSCREEN_START_Weihe_E_LET_N_401" 53 "[[390,467,384,384]]" 53 "Weihe" "blue" "non-degradated" "not underlined" "264" 0
300.699 2.118 12342461 "Exp.Trial" "MASKSCREEN_START_Kiste_E_DEG_N_401" 54 "[[390,467,384,384]]" 54 "Kiste" "blue" "degradated" "not underlined" "187" NA
304.192 2.234 12345954 "Exp.Trial" "MASKSCREEN_START_Fehde_E_DEG_N_252" 55 "[[241,318,384,384]]" 55 "Fehde" "blue" "degradated" "not underlined" "176" NA
