"onset" "duration" "sample" "trial_type" "stim_file" "event_nr" "aoi" "trial" "trialID" "taskVersion" "nwords" "aoiInfo_wordPosition" "aoiInfo_word" "aoiInfo_nchar" "aoiInfo_freq" "aoiInfo_pred" "aoiInfo_lum_norm" "aoiInfo_simBOLD_res" "aoiInfo_OLD20" "response"
288.853 14.258 9586512 "Exp.Trial" "Der Wandersmann bat den Wirt um etwas Wasser. " 21 "[[142.5,274.5,\"NA\",\"NA\"],[274.5,318.5,\"NA\",\"NA\"],[318.5,362.5,\"NA\",\"NA\"],[362.5,417.5,\"NA\",\"NA\"],[417.5,450.5,\"NA\",\"NA\"],[450.5,516.5,\"NA\",\"NA\"],[516.5,599,\"NA\",\"NA\"]]" 21 "ID_93_8" "v3" 8 "[2,3,4,5,6,7,8]" "[\"Wandersmann\",\"bat\",\"den\",\"Wirt\",\"um\",\"etwas\",\"Wasser\"]" "[11,3,3,4,2,5,7]" "[0,2.9101,5.163,2.0645,4.7868,4.6307,3.7491]" "[0,0,0.4096,0.2169,0.9518,0.0843,0.3133]" "[139.436,135.898,143.4627,123.9118,146.2549,130.3153,118.7798]" "[0.44,\"NA\",\"NA\",\"NA\",\"NA\",0.6327,0.4883]" "[3.35,1,1,1,1,1.25,1.15]" NA
304.692 6.434 9602351 "Exp.Trial" "Seit gestern geht es dem Patienten deutlich besser. " 22 "[[153.5,241.5,\"NA\",\"NA\"],[241.5,296.5,\"NA\",\"NA\"],[296.5,329.5,\"NA\",\"NA\"],[329.5,373.5,\"NA\",\"NA\"],[373.5,483.5,\"NA\",\"NA\"],[483.5,582.5,\"NA\",\"NA\"],[582.5,665,\"NA\",\"NA\"]]" 22 "ID_94_8" "v3" 8 "[2,3,4,5,6,7,8]" "[\"gestern\",\"geht\",\"es\",\"dem\",\"Patienten\",\"deutlich\",\"besser\"]" "[7,4,2,3,9,8,7]" "[3.5715,4.4875,5.4176,4.875,3.0917,2.8,4.1452]" "[0.1325,0.0361,0.2651,0.0482,0.2048,0,0.9759]" "[131.3608,143.7696,129.1059,155.5216,127.2292,127.1794,117.3619]" "[0.1276,\"NA\",\"NA\",\"NA\",0.417,0.4204,0.2646]" "[1.35,1,1,1,2.15,1.9,1.3]" "1"
323.854 10.457 9621513 "Exp.Trial" "Der Waffenstillstand hält seit fast vier Monaten. " 23 "[[142.5,329.5,\"NA\",\"NA\"],[329.5,384.5,\"NA\",\"NA\"],[384.5,439.5,\"NA\",\"NA\"],[439.5,494.5,\"NA\",\"NA\"],[494.5,549.5,\"NA\",\"NA\"],[549.5,643,\"NA\",\"NA\"]]" 23 "ID_95_7" "v3" 7 "[2,3,4,5,6,7]" "[\"Waffenstillst\",\"hält\",\"seit\",\"fast\",\"vier\",\"Monaten\"]" "[16,4,4,4,4,8]" "[2.0755,3.4535,3.9332,3.7284,3.5702,3.2835]" "[0,0.0116,0.0349,0,0.0465,0.1395]" "[\"NA\",132.3176,118.9971,126.0245,111.6559,124.9784]" "[\"NA\",\"NA\",\"NA\",\"NA\",\"NA\",0.4885]" "[6,1.35,1,1,1,1.65]" "1"
346.205 9.379 9643864 "Exp.Trial" "Freundlich zu sein kann nie schaden. " 24 "[[219.5,252.5,\"NA\",\"NA\"],[252.5,307.5,\"NA\",\"NA\"],[307.5,362.5,\"NA\",\"NA\"],[362.5,406.5,\"NA\",\"NA\"],[406.5,500,\"NA\",\"NA\"]]" 24 "ID_96_6" "v3" 6 "[2,3,4,5,6]" "[\"zu\",\"sein\",\"kann\",\"nie\",\"schaden\"]" "[2,4,4,3,8]" "[5.3601,4.8345,4.8285,4.4507,2.5911]" "[0.0361,0.5301,0,0,0.3976]" "[118.9471,132.7216,137.2853,122.2627,124.5877]" "[\"NA\",\"NA\",\"NA\",\"NA\",0.2506]" "[1,1,1,1,1.65]" "1"
365.745 9.571 9663404 "Exp.Trial" "Die Mutter gibt ihren Kindern jeden Montag Taschengeld. " 25 "[[142.5,219.5,\"NA\",\"NA\"],[219.5,274.5,\"NA\",\"NA\"],[274.5,340.5,\"NA\",\"NA\"],[340.5,428.5,\"NA\",\"NA\"],[428.5,494.5,\"NA\",\"NA\"],[494.5,571.5,\"NA\",\"NA\"],[571.5,709,\"NA\",\"NA\"]]" 25 "ID_97_8" "v3" 8 "[2,3,4,5,6,7,8]" "[\"Mutter\",\"gibt\",\"ihren\",\"Kindern\",\"jeden\",\"Montag\",\"Taschengeld\"]" "[6,4,5,7,5,6,12]" "[4.1585,4.4259,3.8252,3.17,3.8264,2.7952,1.8451]" "[0.0349,0,0.1512,0.8488,0.0116,0,0.186]" "[130.3582,138.1078,125.6173,134.8846,136.4345,145.3033,130.5647]" "[0.2784,\"NA\",0.3178,0.0954,0.322,0.9925,0.6379]" "[1,1,1,1.35,1.4,1.8,3.65]" NA
377.364 8.569 9675023 "Exp.Trial" "Jeder Vorschlag gilt, der rechtzeitig eingereicht wird. " 26 "[[164.5,274.5,\"NA\",\"NA\"],[274.5,340.5,\"NA\",\"NA\"],[340.5,384.5,\"NA\",\"NA\"],[384.5,516.5,\"NA\",\"NA\"],[516.5,648.5,\"NA\",\"NA\"],[648.5,709,\"NA\",\"NA\"]]" 26 "ID_98_7" "v3" 7 "[2,3,4,5,6,7]" "[\"Vorschlag\",\"gilt\",\"der\",\"rechtzeitig\",\"eingereicht\",\"wird\"]" "[9,5,3,11,11,5]" "[2.7966,2.9395,5.3728,2.7959,1.7993,4.7987]" "[0,0,0.119,0.0476,0.3214,0.7381]" "[131.8017,107.5059,134.7281,124.0966,127.2,111.7263]" "[0.2201,0.864,\"NA\",0.327,0.1611,0.5923]" "[1.8,1,1,2.8,2.45,1]" "1"
399.186 7.144 9696845 "Exp.Trial" "Ich weiß nicht, ob wir uns noch sehen werden. " 27 "[[142.5,197.5,\"NA\",\"NA\"],[197.5,274.5,\"NA\",\"NA\"],[274.5,307.5,\"NA\",\"NA\"],[307.5,351.5,\"NA\",\"NA\"],[351.5,395.5,\"NA\",\"NA\"],[395.5,450.5,\"NA\",\"NA\"],[450.5,516.5,\"NA\",\"NA\"],[516.5,599,\"NA\",\"NA\"]]" 27 "ID_99_9" "v3" 9 "[2,3,4,5,6,7,8,9]" "[\"weiß\",\"nicht\",\"ob\",\"wir\",\"uns\",\"noch\",\"sehen\",\"werden\"]" "[4,6,2,3,3,4,5,7]" "[4.7028,5.6257,4.1393,5.2201,4.921,4.9381,4.4925,4.69]" "[0,0.4884,0.4419,0,0.1163,0.1395,0.186,0.6395]" "[136.7892,109.8771,144.5412,118.5569,127.732,133.1422,135.4125,121.7882]" "[\"NA\",0.2879,\"NA\",\"NA\",\"NA\",\"NA\",0.2879,0.144]" "[1,1,1,1,1,1,1,1]" NA
408.79 7.676 9706449 "Exp.Trial" "Die meisten Kinder gehen gerne zur Schule. " 28 "[[142.5,230.5,\"NA\",\"NA\"],[230.5,307.5,\"NA\",\"NA\"],[307.5,373.5,\"NA\",\"NA\"],[373.5,439.5,\"NA\",\"NA\"],[439.5,483.5,\"NA\",\"NA\"],[483.5,566,\"NA\",\"NA\"]]" 28 "ID_100_7" "v3" 7 "[2,3,4,5,6,7]" "[\"meisten\",\"Kinder\",\"gehen\",\"gerne\",\"zur\",\"Schule\"]" "[7,6,5,5,3,7]" "[3.3869,3.9833,4.4928,3.7193,4.2521,3.6949]" "[0.012,0.0964,0.0964,0.1205,0.2289,0.9639]" "[130.0202,135.1464,144.818,135.4024,115.0013,119.8919]" "[0.0917,0.2448,0.2879,0.365,\"NA\",0.2448]" "[1.25,1,1,1.2,1,1]" NA
418.424 5.16 9716083 "Exp.Trial" "Viele Kinder lesen nur noch selten. " 29 "[[164.5,241.5,\"NA\",\"NA\"],[241.5,307.5,\"NA\",\"NA\"],[307.5,351.5,\"NA\",\"NA\"],[351.5,406.5,\"NA\",\"NA\"],[406.5,489,\"NA\",\"NA\"]]" 29 "ID_101_6" "v3" 6 "[2,3,4,5,6]" "[\"Kinder\",\"lesen\",\"nur\",\"noch\",\"selten\"]" "[6,5,3,4,7]" "[3.9833,3.3047,4.9071,4.9381,2.8299]" "[0.0465,0.0116,0.0116,0.1047,0.0581]" "[135.1464,126.3004,121.1477,133.1422,112.0555]" "[0.2448,0.4095,\"NA\",\"NA\",0.2646]" "[1,1,1,1,1.4]" NA
425.513 11.116 9723172 "Exp.Trial" "Die Journalisten fragen den Bürgermeister nach seiner Meinung. " 30 "[[142.5,285.5,\"NA\",\"NA\"],[285.5,362.5,\"NA\",\"NA\"],[362.5,406.5,\"NA\",\"NA\"],[406.5,560.5,\"NA\",\"NA\"],[560.5,615.5,\"NA\",\"NA\"],[615.5,692.5,\"NA\",\"NA\"],[692.5,786,\"NA\",\"NA\"]]" 30 "ID_102_8" "v3" 8 "[2,3,4,5,6,7,8]" "[\"Journalisten\",\"fragen\",\"den\",\"Bürgermeister\",\"nach\",\"seiner\",\"Meinung\"]" "[12,6,3,13,4,6,8]" "[2.017,3.7096,5.163,2.9805,4.6686,3.7752,3.3718]" "[0,0.0588,0.2353,0.0118,0.6824,0.0941,0.2706]" "[125.3373,134.5412,143.4627,133.1451,133.8824,122.0183,127.952]" "[0.2699,0.1805,\"NA\",0.1582,\"NA\",0.144,0.682]" "[2.95,1.1,1,2.55,1,1,1.8]" NA
